,player_id,player,position,team,salary,roster_id
237,7874,Jeremiah Haydel,WR,LAR,0,999
238,6161,LJ Scott,RB,CLE,0,999
239,7922,Riley Patterson,K,MIN,0,999
240,7062,Rodrigo Blankenship,K,IND,0,9
241,2930,Justin Tukes,TE,,0,999
242,899,Dan Bailey,K,,0,1
243,14,Sidney Rice,WR,,0,999
244,4139,Amara Darboh,WR,DEN,0,999
245,1411,Landry Jones,QB,,0,999
246,4807,Mike Estes,TE,,0,999
247,7455,John Hurst,WR,LAC,0,999
248,3506,Ryan Malleck,TE,,0,999
249,2948,Brandon Cottom,RB,,0,999
250,2578,John Harris,WR,,0,999
251,148,Andre Caldwell,WR,,0,999
252,669,Arian Foster,RB,,0,999
253,250,Matt Spaeth,TE,,0,999
254,2750,DeAndre Carter,WR,WAS,0,999
255,2020,Cairo Santos,K,CHI,0,999
256,655,Anquan Boldin,WR,,0,999
257,2306,Jameis Winston,QB,NO,0,6
258,3347,Jake Rudock,QB,,0,999
259,4738,Colby Pearson,WR,,0,999
260,5113,Cedrick Wilson,WR,DAL,0,999
261,5045,Courtland Sutton,WR,DEN,0,7
262,3622,Mose Frazier,WR,,0,999
263,4770,Duplicate Player,WR,,0,999
264,98,Fred Davis,TE,,0,999
265,247,Harry Douglas,WR,,0,999
266,5880,Parris Campbell,WR,IND,0,999
267,6742,Marquis Young,RB,,0,999
268,3918,TJ Thorpe,WR,,0,999
269,2638,Reggie Bell,WR,,0,999
270,2284,Fred Williams,WR,,0,999
271,7201,Nick Vogel,K,,0,999
272,6595,Devlin Hodges,QB,LAR,0,999
273,3146,Swayze Waters,K,,0,999
274,2223,Charles Sims,RB,,0,999
275,2193,Darrin Reaves,RB,,0,999
276,3540,Jamaal Jones,WR,,0,999
277,7864,Artayvious Lynn,TE,DAL,0,999
278,5125,Damoun Patterson,WR,,0,999
279,7828,Noah Gray,TE,KC,0,999
280,2945,Lee Ward,RB,,0,999
281,229,Phil Dawson,K,,0,999
282,3596,Kivon Cartwright,TE,,0,999
283,5068,Kerryon Johnson,RB,PHI,0,999
284,4046,Patrick Mahomes,QB,KC,0,9
285,3846,Duke Williams,WR,BUF,0,999
286,565,Tony Moeaki,TE,,0,999
287,6401,T.J. Rahming,WR,,0,999
288,416,Jay Cutler,QB,,0,999
289,7541,Cornell Powell,WR,KC,0,5
290,ATL,,DEF,ATL,0,999
291,2255,Bruce Ellington,WR,,0,999
292,1709,Fozzy Whittaker,RB,,0,999
293,1219,Michael Floyd,WR,,0,999
294,240,Calvin Johnson,WR,,0,999
295,1929,Travis Coons,K,,0,999
296,5165,Quinton Flowers,QB,,0,999
297,2584,Austin Hill,WR,,0,999
298,5285,Ross Dwelley,TE,SF,0,999
299,2774,Shakim Phillips,WR,,0,999
300,5970,Greg Dortch,WR,ARI,0,999
301,5224,Taj Williams,WR,,0,999
302,7863,JaQuan Hardy,RB,DAL,0,999
303,5911,Jalen Hurd,WR,SF,0,999
304,2171,Freddie Martino,WR,,0,999
305,2932,Eric Frohnapfel,TE,,0,999
306,6007,Ryquell Armstead,RB,NYG,0,999
307,2118,Eric Ebron,TE,PIT,0,9
308,5733,Clayton Wilson,TE,,0,999
309,5697,Zach Olstad,RB,,0,999
310,6205,Brandon Silvers,QB,NYJ,0,999
311,650,Nick Folk,K,NE,0,999
312,6063,Tyron Johnson,WR,LAC,0,999
313,4164,Michael Roberts,TE,,0,999
314,5703,Deontez Alexander,WR,,0,999
315,7314,Dominik Eberle,K,LV,0,999
316,4198,Jamal Agnew,WR,JAX,0,999
317,6770,Joe Burrow,QB,CIN,0,1
318,2003,Bennie Fowler,WR,SF,0,999
319,2345,Dorial Green-Beckham,WR,,0,999
320,7859,Nick Eubanks,TE,DAL,0,999
321,6159,Mike Weber,RB,NYG,0,999
322,658,Mike Nugent,K,,0,999
323,558,Eric Decker,WR,,0,999
324,3948,Andrew Opoku,WR,,0,999
325,1346,Marquise Goodwin,WR,CHI,0,999
326,5977,Terry Godwin,WR,JAX,0,999
327,2767,Jawon Chisholm,RB,,0,999
328,4962,Sony Michel,RB,NE,0,999
329,4434,Brisly Estime,WR,,0,999
330,736,Joique Bell,RB,,0,999
331,1821,Matt Hazel,WR,,0,999
332,TEN,,DEF,TEN,0,999
333,7387,George Campbell,WR,,0,999
334,5347,Nyheim Hines,RB,IND,0,10
335,6701,Fred Trevillion,WR,,0,999
336,2106,David Fales,QB,NYJ,0,999
337,4622,Keelan Cole,WR,NYJ,0,6
338,5281,Troy Williams,QB,,0,999
339,4214,Shelton Gibson,WR,CAR,0,999
340,2254,Asante Cleveland,TE,,0,999
